Category,Name,URL,Description,Images,Spec: Model,Spec: Country of Origin,Spec: Curb Weight,Spec: Loading Capacity,Spec: Passenger capacity,Spec: Max Range(loaded),Spec: Recharge time,Spec: Motor,Spec: Battery,Spec: Motor Power,Spec: Max. Load,Spec: Brake,Spec: Range (loaded),Spec: Charger,Spec: Charging Time,Spec: Max Range (loaded),Spec: Top Speed,Spec: Battery Type:,Spec: Brake System,Spec: Speed,Spec: Battery Type,Spec: Tyre Size,Spec: Battery Capacity,Spec: Input Voltage,Spec: Front/Rear Brake,Spec: Load Capacity,Spec: Range,Spec: Front & Rear Brake,Spec: Sitting Capacity,Spec: Rear Brake,Spec: Front Brake,Spec: Country Of Origin,Spec: Passenger Capacity,Spec: Wheel Base,Spec: Capacity,Spec: Moto Power,Spec: Sit Capacity,Spec: Max Range,Spec: Top Spped,Spec: Range per Charge,Spec: Tire Size,Spec: Load capacity,Spec: load Capacity,Spec: Weight,Spec: Max Speed,Spec: Weight Capacity
Electric Vehicle,Electric Vehicle Songi,https://www.akijmotors.com/en/product/Electric_Vehicle_Songi,,Electric_Vehicle_Electric_Vehicle_Songi_0.webp,Akij-Songi,China,190 kg,240 kg,03 Person,60 km,8-10 hours,1500 watt,60V 45Ah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Vehicle,Golf Cart/Club Car,https://www.akijmotors.com/en/product/Golf_Cart/Club_Car,,Electric_Vehicle_Golf_Cart_Club_Car_0.webp,Akij-EVG,China,190kg,,04/08 Person,,,,48V 150Ah,5000 Watt,380kg,Disk Brake,80 km,"Automatic high efficiency pulse, Output:48V/3KW",6-8 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Vehicle,Antique Car Elezabeth,https://www.akijmotors.com/en/product/Antique_Car_Elezabeth,,Electric_Vehicle_Antique_Car_Elezabeth_0.webp,Akij Elizabeth,China,,,08 Person,,6-8 hours,,48V 150Ah,5000 Watt,,,,,,60 km,28 KM/H,VRLA,Hydraulic Drum,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Vehicle,Recreation/Sightseeing Car,https://www.akijmotors.com/en/product/Recreation/Sightseeing_Car,,Electric_Vehicle_Recreation_Sightseeing_Car_0.webp,Akij-Recreation car,China,,,08 Person,80 km,6-8 hours,5000 watt,48V 150Ah,,,,,,,,,,,35 KM/H,VRLA,155/80-12,,,,,,,,,,,,,,,,,,,,,,,,
Electric Vehicle,Electric Covered Van,https://www.akijmotors.com/en/product/Electric_Covered_Van,,Electric_Vehicle_Electric_Covered_Van_0.webp,Electric Covered Van,China,,,,,,,,5000 Watt,,,,,6-8 Hours,,,,,55 KM,VRLA/Lithium,,72V 150/300AH,AC 110-220V,Disk/Drum Brake,700KG,100-200 KM/H,,,,,,,,,,,,,,,,,,,
Electric Vehicle,Electric Pick-Up,https://www.akijmotors.com/en/product/Electric_Pick-Up,,Electric_Vehicle_Electric_Pick_Up_0.webp,Electric Pick-Up,China,,,,,,,,5000 Watt,,,,,6-8 Hours,,,,,55 KM,VRLA/Lithium,,72V 150/300AH,AC 110-220V,Disk/Drum Brake,700KG,100-200 KM/H,,,,,,,,,,,,,,,,,,,
Electric Vehicle,Electric Rikshaw Pigeon,https://www.akijmotors.com/en/product/Electric_Rikshaw_Pigeon,,Electric_Vehicle_Electric_Rikshaw_Pigeon_0.webp,Electric Rikshaw Pigeon,China,,,,,,,,1000 Watt,,,,,6-8 Hours,,,,,35 KM/H,VRLA/Lithium,125/65-12,48/60V  45-200AH,AC 110-220V,,,60-200 KM,Disc Brake,3 Person,,,,,,,,,,,,,,,,,
Electric Vehicle,Electric Scooter,https://www.akijmotors.com/en/product/Electric_Scooter,,Electric_Vehicle_Electric_Scooter_0.webp,Electric Scooter,China,,,,,,,,3000 Watt,,,,,6-8 Hours,,,,,45 KM/H,VRLA/Lithium,"4,00-12",60/72V 58/200AH,AC 110-220V,,,50-200 KM,,9 Person,Drum Brake,,,,,,,,,,,,,,,,
Electric Vehicle,Mini Cargo Van,https://www.akijmotors.com/en/product/Mini_Cargo_Van,,Electric_Vehicle_Mini_Cargo_Van_0.webp,Mini Cargo Van,China,,,,,,,,1500/2000 Watt,,,,,6-8 Hours,,,,,40 KM/H,VRLA/Lithium,4.00-12 5.00-12,60/72V 58/200AH,AC 110-220V,,700/1000 KG,40-200 KM,,,,,,,,,,,,,,,,,,,
Electric Vehicle,Delivery Van,https://www.akijmotors.com/en/product/Delivery_Van,,Electric_Vehicle_Delivery_Van_0.webp,Delivery Van,China,,,,,,,,2000 Watt,,,,,6-8 Hours,,,,,45 KM/H,VRLA/Lithium,4.50-12,60/72V 58/200AH,AC 110-220V,,1 Ton,40-200 KM,,,Drum,Drum,,,,,,,,,,,,,,,
