Name,Price,URL,Description,Images,Original Image URLs,Spec: Parameter,Spec: Model,Spec: Maximum Power (Pmax),Spec: Maximum Power Voltage (Vmp),Spec: Maximum Power Current (Imp),Spec: Open Circuit Voltage (Voc),Spec: Short Circuit Current (Isc),Spec: Maximum System Voltage,Spec: Maximum Series Fuse,Spec: Application,Spec: Power Tolerance,Spec: Dimension,Spec: Rated Maximum Power (Pmax),Spec: Module Efficiency,Spec: Operating Temperature,Spec: Dimensions,Spec: Weight,Spec: Bifaciality,Spec: Cell Type,Spec: Number of Cells,Spec: Nominal Power Voltage (Vmp),Spec: Nominal Power Current (Imp),Spec: Origin,Spec: Application Class,Spec: Maximum Series Fuse Rating,Spec: Mechanical Load Capacity,Spec: Category,Spec: Panel Type,Spec: Cell Count,Spec: Open-Circuit Voltage (Voc),Spec: Short-Circuit Current (Isc),Spec: Module Efficiency (STC),Spec: Temperature Coefficients,Spec: Nominal Operating Cell Temp. (NOCT),Spec: Series Fuse Rating,Spec: Mechanical Load Rating,Spec: Technology,Spec: Durability,Spec: Junction Box,Spec: Output Cable,Spec: Front Glass,Spec: Frame,Spec: Warranty,Spec: Voltage at Maximum Power (Vmp),Spec: Current at Maximum Power (Imp)
SUNSHINE 55W Germany Cell 12V Mono Solar Panel,"(80W x 30৳) = 2,400৳",https://solar.com.bd/product/sunshine-55w-germany-cell-12v-mono-solar-panel/,"SUNSHINE 55W Germany Cell 12V Mono Solar Panel – Overview
The 
SUNSHINE 55W Germany Cell 12V Mono Solar Panel
 is a compact and efficient solar module designed for small off-grid solar systems. Built with high-quality Germany cell technology and advanced MBB (Multi Busbar) design, this panel delivers stable energy output and dependable performance for battery charging and portable solar applications.
Its compact size makes it ideal for small solar installations such as lighting systems, backup solar setups, camping equipment, boats, caravans, and small home solar power solutions.
Key Benefits
Reliable 55W solar output for 12V battery systems.
Germany cell technology ensures stable power generation.
MBB design improves efficiency and reduces resistance.
Excellent performance in low-light conditions.
PID-free technology for long-term reliability.
Salt mist and ammonia resistant structure.
Compact and lightweight for easy installation.
25-year linear power output warranty.
This panel integrates seamlessly with MPPT and PWM 
solar charge controllers
 and works efficiently with 
inverters
 and 
battery systems
 for dependable off-grid solar power generation.
Technical Specifications
Parameter
Value
Model
SS-55W-M
Maximum Power (Pmax)
55W
Maximum Power Voltage (Vmp)
18V
Maximum Power Current (Imp)
4.44A
Open Circuit Voltage (Voc)
21.06V
Short Circuit Current (Isc)
5.19A
Maximum System Voltage
1000V
Maximum Series Fuse
20A
Application
Class A
Power Tolerance
0 ~ +5W
Dimension
770 × 670 × 30 mm
নোটঃ SUNSHINE প্যানেল গুলো ট্রান্সপোর্টে গ্লাস ভেঙ্গে গেলে আমরা নতুন একটা প্যানেল দিবো। যদি গ্লাস না ভাঙ্গে, শুধু স্ক্রাচ (দাগ ) বা ফ্রেমে কোন ক্ষতি হয় তাহলে রিটার্ন / রিফান্ড হবে না।","SUNSHINE_55W_Germany_Cell_12V_Mono_Solar_Panel_0.png, SUNSHINE_55W_Germany_Cell_12V_Mono_Solar_Panel_1.png","https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-55w-mono-solar-panel.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-55w-mono-solar-panel-datasheet.png",Value,SS-55W-M,55W,18V,4.44A,21.06V,5.19A,1000V,20A,Class A,0 ~ +5W,770 × 670 × 30 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE 80W Germany Cell 12V Mono Solar Panel,"(220W x 30৳) = 6,600৳",https://solar.com.bd/product/sunshine-80w-germany-cell-12v-mono-solar-panel/,"SUNSHINE 80W Germany Cell 12V Mono Solar Panel – Overview
The 
SUNSHINE 80W Germany Cell 12V Mono Solar Panel
 is a compact and reliable solar module designed for small off-grid solar systems. Built using high-quality Germany cell technology and modern MBB (Multi Busbar) design, this solar panel delivers stable energy output and improved efficiency even in challenging environmental conditions.
This panel performs efficiently in low-light environments and provides dependable solar power for charging batteries in residential, mobile, and remote power systems.
Key Benefits
High efficiency 80W output for small solar systems.
Germany cell technology for stable energy generation.
MBB design improves power conversion efficiency.
Excellent performance in weak sunlight.
PID-free technology for long-term durability.
Salt mist and ammonia resistant structure.
Compact design suitable for limited spaces.
25-year linear power output warranty.
This panel integrates seamlessly with MPPT and PWM 
solar charge controllers
 and works efficiently with 
inverters
 and 
battery systems
 for reliable off-grid solar energy solutions.
Technical Specifications
Parameter
Value
Model
SS-80W-M
Maximum Power (Pmax)
80W
Maximum Power Voltage (Vmp)
18V
Maximum Power Current (Imp)
4.44A
Open Circuit Voltage (Voc)
21.06V
Short Circuit Current (Isc)
5.19A
Maximum System Voltage
1000V
Maximum Series Fuse
20A
Application
Class A
Power Tolerance
0 ~ +5W
Dimension
770 × 670 × 30 mm
নোটঃ SUNSHINE প্যানেল গুলো ট্রান্সপোর্টে গ্লাস ভেঙ্গে গেলে আমরা নতুন একটা প্যানেল দিবো। যদি গ্লাস না ভাঙ্গে, শুধু স্ক্রাচ (দাগ ) বা ফ্রেমে কোন ক্ষতি হয় তাহলে রিটার্ন / রিফান্ড হবে না।","SUNSHINE_80W_Germany_Cell_12V_Mono_Solar_Panel_0.png, SUNSHINE_80W_Germany_Cell_12V_Mono_Solar_Panel_1.png, SUNSHINE_80W_Germany_Cell_12V_Mono_Solar_Panel_2.png","https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-80w-mono-solar-panel.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-80w-mono-solar-panel-datasheet.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-80w-mono-solar-panel-packing.png",Value,SS-80W-M,80W,18V,4.44A,21.06V,5.19A,1000V,20A,Class A,0 ~ +5W,770 × 670 × 30 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE 220W Germany Cell 12V Mono Solar Panel,"(200W x 30৳) = 6,000৳",https://solar.com.bd/product/sunshine-220w-germany-cell-12v-mono-solar-panel/,"SUNSHINE 220W Germany Cell 12V Mono Solar Panel – Overview
The 
SUNSHINE 220W Germany Cell 12V Mono Solar Panel
 is a high-efficiency monocrystalline solar module designed for reliable off-grid solar applications. Built using advanced Germany cell technology and modern MBB design, this panel delivers excellent energy conversion, strong durability, and stable long-term performance even in demanding environmental conditions.
Key Benefits
Delivers up to 220W maximum power output for 12V solar systems.
High-efficiency monocrystalline Germany cell technology.
MBB design improves light absorption and reduces power loss.
Excellent low-light performance for cloudy conditions.
Salt mist and ammonia resistant for harsh environments.
PID-free technology ensures long-term stable power output.
Class A rated module for safe solar installations.
25-year linear power output warranty.
This panel integrates seamlessly with MPPT and PWM 
solar charge controllers
 and operates efficiently with 
inverters
 and 
battery
 systems, ensuring maximum solar energy efficiency and dependable power generation.
Technical Specifications
Parameter
Value
Maximum Power (Pmax)
220W
Maximum Power Voltage (Vmp)
18.9V
Maximum Power Current (Imp)
11.64A
Open Circuit Voltage (Voc)
22.11V
Short Circuit Current (Isc)
13.52A
Maximum System Voltage
1000V
Maximum Series Fuse
20A
Application
Class A
Power Tolerance
0~+5W
Dimension
1570 × 710 × 35 mm
নোটঃ SUNSHINE প্যানেল গুলো ট্রান্সপোর্টে গ্লাস ভেঙ্গে গেলে আমরা নতুন একটা প্যানেল দিবো। যদি গ্লাস না ভাঙ্গে, শুধু স্ক্রাচ (দাগ ) বা ফ্রেমে কোন ক্ষতি হয় তাহলে রিটার্ন / রিফান্ড হবে না।","SUNSHINE_220W_Germany_Cell_12V_Mono_Solar_Panel_0.png, SUNSHINE_220W_Germany_Cell_12V_Mono_Solar_Panel_1.png, SUNSHINE_220W_Germany_Cell_12V_Mono_Solar_Panel_2.png, SUNSHINE_220W_Germany_Cell_12V_Mono_Solar_Panel_3.png","https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-220w-mono-solar-panel.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-220w-mono-solar-panel-photo.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-220w-mono-solar-panel-datasheet.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-220w-mono-solar-panel-packing.png",Value,,220W,18.9V,11.64A,22.11V,13.52A,1000V,20A,Class A,0~+5W,1570 × 710 × 35 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE 200W Germany Cell 12V Mono Solar Panel,"(170W x 30৳) = 5,100৳",https://solar.com.bd/product/sunshine-200w-germany-cell-12v-mono-solar-panel/,"SUNSHINE 200W Germany Cell 12V Mono Solar Panel – Overview
The 
SUNSHINE 200W Germany Cell 12V Mono Solar Panel
 is a high-performance monocrystalline solar module engineered for dependable off-grid solar applications. Built using advanced Germany cell technology and MBB design, this solar panel delivers strong energy output, superior durability, and reliable long-term performance even in challenging environmental conditions.
Key Benefits
Delivers up to 200W maximum power output ideal for 12V solar systems.
High-efficiency monocrystalline Germany cell technology.
MBB design improves light absorption and reduces internal power loss.
Excellent performance even in low-light conditions.
Salt mist and ammonia resistant for harsh environments.
PID-free technology for long-term power stability.
Class A safety rating for reliable solar installations.
25-year linear power output warranty for long service life.
This panel integrates seamlessly with MPPT and PWM 
solar charge controllers
 and works efficiently with 
inverters
 and 
battery
 systems, ensuring optimal solar energy performance and dependable power generation.
Technical Specifications
Parameter
Value
Maximum Power (Pmax)
200W
Maximum Power Voltage (Vmp)
18.9V
Maximum Power Current (Imp)
10.58A
Open Circuit Voltage (Voc)
22.11V
Short Circuit Current (Isc)
12.38A
Maximum System Voltage
1500V
Maximum Series Fuse
25A
Application
Class A
Power Tolerance
0~+5W
Dimension
1480 × 670 × 30 mm
নোটঃ SUNSHINE প্যানেল গুলো ট্রান্সপোর্টে গ্লাস ভেঙ্গে গেলে আমরা নতুন একটা প্যানেল দিবো। যদি গ্লাস না ভাঙ্গে, শুধু স্ক্রাচ (দাগ ) বা ফ্রেমে কোন ক্ষতি হয় তাহলে রিটার্ন / রিফান্ড হবে না।","SUNSHINE_200W_Germany_Cell_12V_Mono_Solar_Panel_0.png, SUNSHINE_200W_Germany_Cell_12V_Mono_Solar_Panel_1.png, SUNSHINE_200W_Germany_Cell_12V_Mono_Solar_Panel_2.png, SUNSHINE_200W_Germany_Cell_12V_Mono_Solar_Panel_3.png","https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-200w-mono-solar-panel.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-200w-mono-solar-panel-photo.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-200w-mono-solar-panel-datasheet.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-200w-mono-solar-panel-packing.png",Value,,200W,18.9V,10.58A,22.11V,12.38A,1500V,25A,Class A,0~+5W,1480 × 670 × 30 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE 170W Germany Cell 12V Mono Solar Panel,"(150W x 30৳) = 4,500৳",https://solar.com.bd/product/sunshine-170w-germany-cell-12v-mono-solar-panel/,"SUNSHINE 170W Germany Cell 12V Mono Solar Panel – Overview
The 
SUNSHINE 170W Germany Cell 12V Mono Solar Panel
 is a high-efficiency monocrystalline solar module designed for dependable off-grid solar applications. Built with advanced Germany cell technology and MBB design, this panel ensures strong power output, enhanced durability, and reliable long-term performance even under challenging environmental conditions.
Key Benefits
Delivers up to 170W maximum power output ideal for 12V solar systems.
High-efficiency monocrystalline Germany cell technology.
MBB design improves light absorption and minimizes internal power loss.
Excellent low-light performance in cloudy or weak sunlight.
Salt mist and ammonia resistant for harsh environmental conditions.
PID-free technology for stable and long-lasting performance.
Class A safety rating for reliable solar installations.
25-year linear power output warranty for long-term reliability.
This panel integrates seamlessly with MPPT and PWM 
solar charge controllers
 and operates efficiently with 
inverters
 and 
battery
 systems, ensuring optimal solar energy performance and dependable power generation.
Technical Specifications
Parameter
Value
Maximum Power (Pmax)
170W
Maximum Power Voltage (Vmp)
18.9V
Maximum Power Current (Imp)
8.99A
Open Circuit Voltage (Voc)
22.11V
Short Circuit Current (Isc)
10.52A
Maximum System Voltage
1000V
Maximum Series Fuse
20A
Application
Class A
Power Tolerance
0~+5W
Dimension
1480 × 570 × 35 mm
নোটঃ SUNSHINE প্যানেল গুলো ট্রান্সপোর্টে গ্লাস ভেঙ্গে গেলে আমরা নতুন একটা প্যানেল দিবো। যদি গ্লাস না ভাঙ্গে, শুধু স্ক্রাচ (দাগ ) বা ফ্রেমে কোন ক্ষতি হয় তাহলে রিটার্ন / রিফান্ড হবে না।","SUNSHINE_170W_Germany_Cell_12V_Mono_Solar_Panel_0.png, SUNSHINE_170W_Germany_Cell_12V_Mono_Solar_Panel_1.png, SUNSHINE_170W_Germany_Cell_12V_Mono_Solar_Panel_2.png, SUNSHINE_170W_Germany_Cell_12V_Mono_Solar_Panel_3.png","https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-170w-mono-solar-panel.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-170w-mono-solar-panel-photo.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-170w-mono-solar-panel-datasheet.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-170w-mono-solar-panel-packing.png",Value,,170W,18.9V,8.99A,22.11V,10.52A,1000V,20A,Class A,0~+5W,1480 × 570 × 35 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE 150W Germany Cell 12V Mono Solar Panel,"(100W x 30৳) = 3,000৳",https://solar.com.bd/product/sunshine-150w-germany-cell-12v-mono-solar-panel/,"SUNSHINE 150W Germany Cell 12V Mono Solar Panel – Overview
The 
SUNSHINE 150W Germany Cell 12V Mono Solar Panel
 is a high-performance monocrystalline solar module designed for reliable off-grid solar applications. Built using advanced Germany cell technology and MBB design, this panel provides excellent power output, enhanced durability, and stable long-term performance even in demanding environmental conditions.
Key Benefits
Produces up to 150W maximum power output for 12V solar systems.
High-efficiency monocrystalline Germany cell technology.
MBB design improves light absorption and reduces power loss.
Excellent performance in low-light conditions.
Salt mist and ammonia resistant for harsh environments.
PID-free technology ensures long-term power stability.
Class A safety rating for reliable solar installations.
25-year linear power output warranty.
This panel integrates seamlessly with MPPT and PWM 
solar charge controllers
 and operates efficiently with 
inverters
 and 
battery
 systems, ensuring optimal solar energy performance and dependable power output.
Technical Specifications
Parameter
Value
Maximum Power (Pmax)
150W
Maximum Power Voltage (Vmp)
18V
Maximum Power Current (Imp)
8.33A
Open Circuit Voltage (Voc)
21.06V
Short Circuit Current (Isc)
9.75A
Maximum System Voltage
1500V
Maximum Series Fuse
25A
Application
Class A
Power Tolerance
0~+5W
Dimension
1200 × 580 × 30 mm
নোটঃ SUNSHINE প্যানেল গুলো ট্রান্সপোর্টে গ্লাস ভেঙ্গে গেলে আমরা নতুন একটা প্যানেল দিবো। যদি গ্লাস না ভাঙ্গে, শুধু স্ক্রাচ (দাগ ) বা ফ্রেমে কোন ক্ষতি হয় তাহলে রিটার্ন / রিফান্ড হবে না।","SUNSHINE_150W_Germany_Cell_12V_Mono_Solar_Panel_0.png, SUNSHINE_150W_Germany_Cell_12V_Mono_Solar_Panel_1.png, SUNSHINE_150W_Germany_Cell_12V_Mono_Solar_Panel_2.png, SUNSHINE_150W_Germany_Cell_12V_Mono_Solar_Panel_3.png","https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-150w-mono-solar-panel.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-150w-mono-solar-panel-photo.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-150w-mono-solar-panel-datasheet.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-150w-mono-solar-panel-packing.png",Value,,150W,18V,8.33A,21.06V,9.75A,1500V,25A,Class A,0~+5W,1200 × 580 × 30 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE 100W Germany Cell 12V Mono Solar Panel,"(400W x 25৳) = 10,000৳",https://solar.com.bd/product/sunshine-100w-germany-cell-12v-mono-solar-panel/,"SUNSHINE 100W Germany Cell 12V Mono Solar Panel – Overview
The SUNSHINE 100W Germany Cell 12V Mono Solar Panel is a high-efficiency monocrystalline solar module engineered for dependable off-grid energy applications. Built using advanced Germany cell technology and modern MBB design, this panel delivers stable power output, improved durability, and long-lasting performance even in harsh environmental conditions.
Key Benefits
Produces up to 100W output ideal for 12V solar systems.
Monocrystalline Germany cell technology for higher efficiency.
MBB design enhances light absorption and reduces internal loss.
Excellent low-light performance for cloudy or weak sunlight.
Salt mist and ammonia resistant for extreme environments.
PID-free technology ensures long-term performance reliability.
Class A safety standard for secure solar installations.
25-year linear power warranty for long service life.
This panel integrates seamlessly with MPPT and PWM 
solar charge controllers
 and operates efficiently with 
inverters
 and 
battery
 systems, ensuring optimal solar energy performance and reliable power output.
Technical Specifications
Parameter
Value
Maximum Power (Pmax)
100W
Maximum Power Voltage (Vmp)
18V
Maximum Power Current (Imp)
5.55A
Open Circuit Voltage (Voc)
21.06V
Short Circuit Current (Isc)
6.49A
Maximum System Voltage
1500V
Maximum Series Fuse
25A
Application
Class A
Power Tolerance
0 ~ +5W
Dimension
1000 × 600 × 30 mm
নোটঃ SUNSHINE প্যানেল গুলো ট্রান্সপোর্টে গ্লাস ভেঙ্গে গেলে আমরা নতুন একটা প্যানেল দিবো। যদি গ্লাস না ভাঙ্গে, শুধু স্ক্রাচ (দাগ ) বা ফ্রেমে কোন ক্ষতি হয় তাহলে রিটার্ন / রিফান্ড হবে না।","SUNSHINE_100W_Germany_Cell_12V_Mono_Solar_Panel_0.png, SUNSHINE_100W_Germany_Cell_12V_Mono_Solar_Panel_1.png, SUNSHINE_100W_Germany_Cell_12V_Mono_Solar_Panel_2.png","https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-100w-mono-solar-panel.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-100w-mono-solar-panel-photo.png, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-100w-mono-solar-panel-datasheet.png",Value,,100W,18V,5.55A,21.06V,6.49A,1500V,25A,Class A,0 ~ +5W,1000 × 600 × 30 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA Solar Deep Blue 4.0 Pro 615W Bifacial Solar Panel,"(55W x 32৳) = 1,760৳",https://solar.com.bd/product/ja-solar-deep-blue-4-0-pro-615w-bifacial-solar-panel/,"JA Solar Deep Blue 4.0 Pro 615W Bifacial Solar Panel – Overview
The JA Solar Deep Blue 4.0 Pro 615W Bifacial Solar Panel is a premium n-type double glass bifacial module engineered for high-efficiency commercial and utility-scale solar installations. Built with advanced MBB half-cell technology, this 620W solar panel delivers superior energy yield, enhanced durability, and long-term reliability under demanding environmental conditions.
Key Benefits
Advanced n-type cell technology ensures lower degradation and higher lifetime energy output.
Double glass bifacial structure increases rear-side gain for higher total power generation.
Up to 22.8% module efficiency maximizes power density in limited installation areas.
Excellent temperature coefficient provides stable performance in hot climates.
Strong mechanical load capacity supports heavy wind and snow conditions.
1500V DC system compatibility reduces BOS cost in large-scale projects.
Improved low-irradiance response enhances performance during cloudy weather.
Backed by 12-year product warranty and 30-year linear power output warranty.
TThis panel integrates effortlessly with 
MPPT/PWM charge controllers
 and works perfectly with 
Off-Grid inverters
, 
On-Grid inverters
, and 
Hybrid inverters
, ensuring maximum solar energy efficiency and reliable performance.
Technical Specifications
Parameter
Value
Rated Maximum Power (Pmax)
615W
Open Circuit Voltage (Voc)
48.30V
Maximum Power Voltage (Vmp)
39.96V
Short Circuit Current (Isc)
16.10A
Maximum Power Current (Imp)
15.39A
Module Efficiency
22.8%
Maximum System Voltage
1500V DC
Operating Temperature
-40°C to +85°C
Dimensions
2382 × 1134 × 30 mm
Weight
33.1 kg
Bifaciality
80% ±5%
Cell Type
n-type Mono
Number of Cells
132 (6×22)
Download Datasheet
 | For manufacturer details, see the official page: 
JA Solar Deep Blue 4.0 Pro JAM66D45-615 LB",JA_Solar_Deep_Blue_4_0_Pro_615W_Bifacial_Solar_Pan_0.png,https://solar.com.bd/wp-content/uploads/assets/images/ja-solar-deep-blue-4-pro-jam66d45-615-lb-solar-panel.png,Value,,,39.96V,15.39A,48.30V,16.10A,1500V DC,,,,,615W,22.8%,-40°C to +85°C,2382 × 1134 × 30 mm,33.1 kg,80% ±5%,n-type Mono,132 (6×22),,,,,,,,,,,,,,,,,,,,,,,,,
REC Alpha Pro M 600W Heterojunction Mono Solar Panel,"(55W x 32৳) = 1,760৳",https://solar.com.bd/product/rec-alpha-pro-m-600w-heterojunction-mono-solar-panel/,"REC Alpha Pro M 600W Heterojunction Mono Solar Panel – Overview
The REC Alpha Pro M 600W Heterojunction Mono Solar Panel is a next-generation high-efficiency module built with advanced heterojunction (HJT) technology. Designed for commercial, industrial, and utility-scale installations, this powerful 600W panel delivers superior energy yield, excellent low-light performance, and exceptional long-term reliability.
Key Benefits
Advanced heterojunction cell technology improves overall energy conversion efficiency.
High power output of 600W reduces installation costs per watt.
Up to 21.1% module efficiency maximizes energy generation.
Outstanding temperature coefficient (-0.24%/°C) ensures better performance in hot climates.
>92% guaranteed power output in year 25 with only 0.25% annual degradation.
1500V system compatibility supports large-scale solar projects.
Strong anodized aluminum frame with high mechanical load resistance.
Backed by REC 25-year ProTrust warranty program.
This high-performance module integrates seamlessly with modern solar panels system designs and can be paired with a dependable 
battery bank
 solution for hybrid and energy storage applications.
Technical Specifications
Parameter
Value
Rated Maximum Power (Pmax)
600W
Nominal Power Voltage (Vmp)
36.0V
Nominal Power Current (Imp)
16.67A
Open Circuit Voltage (Voc)
44.2V
Short Circuit Current (Isc)
17.65A
Module Efficiency
21.1%
Maximum System Voltage
1500V
Operating Temperature
-40°C to +85°C
Dimensions
2175 × 1305 × 30 mm
Weight
32.5 kg
Cell Type
120 Half-cut REC Heterojunction Cells
Origin
Made in Singapore
Download Datasheet
 | For manufacturer details, see the official page: 
REC Alpha Pro M",REC_Alpha_Pro_M_600W_Heterojunction_Mono_Solar_Pan_0.png,https://solar.com.bd/wp-content/uploads/assets/images/rec-alpha-pro-m-600w-solar-panel.png,Value,,,,,44.2V,17.65A,1500V,,,,,600W,21.1%,-40°C to +85°C,2175 × 1305 × 30 mm,32.5 kg,,120 Half-cut REC Heterojunction Cells,,36.0V,16.67A,Made in Singapore,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE 250W Germany Cell 24V Mono Solar Panel,"(55W x 32৳) = 1,760৳",https://solar.com.bd/product/sunshine-250w-germany-cell-24v-mono-solar-panel/,"SUNSHINE 250W Germany Cell 24V Mono  Solar Panel – Overview
The 
SUNSHINE 250W Germany Cell 24V Mono  Solar Panel
 is a high-efficiency solar module designed for modern off-grid solar systems. Built with advanced Germany cell technology and bifacial power generation capability, this panel can capture sunlight from both the front and rear sides to maximize energy production.
The panel features modern MBB (Multi-Busbar) design to improve electrical performance, reduce resistance losses, and increase overall efficiency. With PID-free technology and robust environmental resistance, the SUNSHINE bifacial solar panel provides reliable power output and long-term durability in various installation environments.
Key Benefits
High-efficiency 250W solar power output for 24V systems.
Bifacial solar technology captures light from both sides.
Germany cell technology for superior efficiency.
MBB design improves electrical performance.
Excellent low-light performance in cloudy conditions.
Salt mist and ammonia resistant for harsh environments.
PID-free technology ensures long-term stability.
25-year linear power output warranty.
This panel integrates seamlessly with MPPT and PWM 
solar charge controllers
 and works efficiently with 
inverters
 and 
battery
 systems to deliver reliable solar power for residential and off-grid installations.
Technical Specifications
Parameter
Value
Model
SS-250W-24-M
Maximum Power (Pmax)
250W
Maximum Power Voltage (Vmp)
31.5V
Maximum Power Current (Imp)
7.93A
Open Circuit Voltage (Voc)
36.85V
Short Circuit Current (Isc)
9.28A
Maximum System Voltage
1000V
Maximum Series Fuse
20A
Application
Class A
Power Tolerance
0~+5W
Dimension
1600 × 920 × 35 mm
নোটঃ SUNSHINE প্যানেল গুলো ট্রান্সপোর্টে গ্লাস ভেঙ্গে গেলে আমরা নতুন একটা প্যানেল দিবো। যদি গ্লাস না ভাঙ্গে, শুধু স্ক্রাচ (দাগ ) বা ফ্রেমে কোন ক্ষতি হয় তাহলে রিটার্ন / রিফান্ড হবে না।","SUNSHINE_250W_Germany_Cell_24V_Mono_Solar_Panel_0.webp, SUNSHINE_250W_Germany_Cell_24V_Mono_Solar_Panel_1.png, SUNSHINE_250W_Germany_Cell_24V_Mono_Solar_Panel_2.webp, SUNSHINE_250W_Germany_Cell_24V_Mono_Solar_Panel_3.jpg","https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-250w-24v-mono-solar-panel.webp, https://solar.com.bd/wp-content/uploads/assets/images/sunshine-solarland-250w-24volt-mono-solar-panel.png, https://solar.com.bd/wp-content/uploads/assets/images/SUNSHINE-250W-24V-Mono-Solar-Panel-High-Efficiency-Bangladesh.webp, https://solar.com.bd/wp-content/uploads/1000096613.jpg",Value,SS-250W-24-M,250W,31.5V,7.93A,36.85V,9.28A,1000V,20A,Class A,0~+5W,1600 × 920 × 35 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
